urn,replace2011
100770,1
100771,1
100795,1
100874,1
101116,1
102052,1
104142,1
105376,1
105385,1
105820,1
106301,1
109282,1
112126,1
112147,1
112185,1
112204,1
112207,1
112208,1
112212,1
112217,1
112242,1
112264,1
112274,1
112307,1
112314,1
112330,1
112340,1
112349,1
112397,1
112411,1
112755,1
113864,1
114795,1
116656,1
116984,1
118175,1
118205,1
119029,1
119079,1
119793,1
119816,1
120890,1
121018,1
121787,1
122365,1
124135,1
124136,1
124206,1
124285,1
124337,1
124368,1
124369,1
124408,1
126557,1
131843,1
132799,1
133390,1
133726,1
133739,1
134117,1
134789,1
135607,1
135685,1
135866,1
135938,1
135940,1
135965,1
135974,1
