urn,schoolname,northing,easting,phase,secondary,age2to3_num,boarding_perc
106832,Badsley Moor Junior School,NA,NA,Primary,0,0,0
114764,Stanway Fiveways Primary School,NA,NA,Primary,0,0,0
114817,St. Michael's Primary & Nursery School,NA,NA,Primary,0,24,0
115069,St.Andrew's C.E.Primary School,NA,NA,Primary,0,0,0
115106,FEERING C OF E,NA,NA,Primary,0,0,0
115261,Millfields Primary School,NA,NA,Primary,0,0,0
116256,Nightingale Primary School,NA,NA,Primary,0,0,0
116292,Horndean Junior School,NA,NA,Primary,0,0,0
118873,The Maplesden Noakes School,NA,NA,Secondary,1,0,0
127416,Holy Rood Catholic Primary School,NA,NA,Primary,0,48,0
133300,Newdale Primary School,NA,NA,Primary,0,0,0
133343,Kew Riverside Primary School,NA,NA,Primary,0,0,0
136087,St Vincent's Catholic Primary School,NA,NA,NA,NA,NA,NA
100723,Holy Trinity CE Primary School,NA,NA,Primary,0,0,0
134195,Manchester Mesivta,NA,NA,Secondary,1,0,0
108271,Kettlethorpe High School,NA,NA,Secondary,1,0,0
106867,Dinnington Community Primary,NA,NA,Primary,0,37,0
108687,Marsden Primary,NA,NA,Primary,0,48,0
104039,Blossomfield Infant School,NA,NA,Primary,0,57,0
104328,Manor Primary,NA,NA,Primary,0,60,0
117865,Stamford Bridge Primary School,NA,NA,Primary,0,0,0
117956,Scartho Infant's School,NA,NA,Primary,0,36,0
109944,Manor Primary School,NA,NA,Primary,0,61,0
115903,Oakwood Infant,NA,NA,Primary,0,0,0
118202,West Wight Middle School,NA,NA,Middle Deemed Secondary,1,0,0
112485,Alfreton Nursery School,NA,NA,Nursery,0,105,0
120117,Blackfordby St. Margaret's C.E,NA,NA,Primary,0,0,0
115109,KELVEDON ST MARYS COFE CONTR.,NA,NA,Primary,0,0,0
115135,COLNE ENGAINE CE PRIMARY SCH.,NA,NA,Primary,0,0,0
114706,HAMILTON PRIMARY SCHOOL,NA,NA,Primary,0,0,0
131219,BRINKLEY GROVE PRIMARY,NA,NA,Primary,0,0,0
114823,ROACH VALE PRIMARY SCHOOL,NA,NA,Primary,0,0,0
116302,Netley Marsh Infant School,NA,NA,Primary,0,0,0
126475,Downton Primary,NA,NA,Primary,0,0,0
118505,Sandgate County Primary School,NA,NA,Primary,0,0,0
119901,Countesthorpe Nursery School,NA,NA,Nursery,0,23,0
120455,Ingoldmells School,NA,NA,Primary,0,0,0
122232,CAMBO FIRST SCHOOL,NA,NA,Primary,0,0,0
124187,Anglesey Primary School,NA,NA,Primary,0,0,0
124339,St. Werburgh's CE (A) Primary,NA,NA,Primary,0,0,0
135053,Heronswood Primary School,NA,NA,Primary,0,0,0
