lsoa11cd,lat,long,schoolname,urn,easting_old,northing_old,edist,easting_new,northing_new
E01021319,51.5751,0.4584625,Ghyllgrove Junior,114914,570457,189113,0.00123225,570423,189102
E01000211,51.58551,-0.1985383,Garden Suburb Infant School,101282,524907,188944,0.0017344,524919,188895
E01000211,51.58551,-0.1985383,Garden Suburb Junior,101281,524907,188944,0.0017344,524919,188895
E01016368,51.42989,-0.9593888,Blagdon Nursery School,109748,472438,170613,0.00252755,472470,170611
E01031722,51.10352,-0.0870702,Turners Hill C.of E. School,126010,534028,135541,0.00254399,534095,135480
E01014300,52.99405,-2.128482,Gladstone Primary School,124031,391473,344085,0.00340677,391405,344104
E01010454,52.5764,-2.120069,SS MARY AND JOHN RC PRIMARY,104376,391962,297624,0.0034295,391946,297574
E01010454,52.5764,-2.120069,Grove Primary School,104352,391962,297624,0.0034295,391946,297574
E01013959,52.96514,-1.134193,St. Ann's Well Primary,135444,458245,341217,0.00543731,458199,341151
E01020633,54.8262,-1.70812,Burnhope Primary School,114041,418857,547969,0.00676811,418907,547971
E01017703,51.87402,-0.9199553,Quainton C E Combined,110447,474455,220052,0.00769833,474507,220065
E01017287,50.72458,-1.187594,Binstead Primary,118176,457437,91970,0.00776732,457508,91959
E01019060,50.45409,-4.997148,MAWGAN-IN-PYDAR C.P. SCHOOL,111884,187338,65885,0.00902141,187348,65903
E01024949,53.68783,-2.639789,Whittle-le-Woods C.E. School,119478,357853,421461,0.00977319,357850,421530
E01029891,52.02442,0.7496658,Great Cornard Upper School,124797,588745,239802,0.01134654,588750,239871
E01001362,51.50762,-0.3830849,BLAIR PEACH PRIMARY SCHOOL,101892,512317,179994,0.01276252,512384,179998
E01001362,51.50762,-0.3830849,Beaconsfield Primary School,101878,512317,179994,0.01276252,512384,179998
E01025242,53.7862,-2.706881,Corpus Christi Catholic Sports College,119780,353523,432427,0.01409307,353495,432369
E01013672,52.62915,-1.068803,St. Paul's Catholic School,120307,463132,303882,0.0142311,463112,303831
E01000249,51.65668,-0.2118791,Foulds,101279,523799,196845,0.0151034,523900,196810
E01029442,52.75965,-1.718569,Thomas Russell Junior School,124150,419104,318046,0.01530769,419225,318104
E01025228,53.84896,-2.188293,Primet High School,119720,387719,439221,0.01585213,387673,439235
E01015785,51.90166,-0.4470032,Norton Road Primary,109548,506933,223721,0.01735495,506927,223675
E01001145,51.39934,-0.071085,St Mark's C of E Primary,101789,534282,168448,0.01743552,534245,168409
E01025368,53.70709,-2.198792,Bacup Nursery School,119097,386987,423440,0.01894386,386924,423459
E01025368,53.70709,-2.198792,Bacup Thorn Primary,119193,386987,423440,0.01894386,386924,423459
E01008346,54.98273,-1.657533,SACRED HEART HIGH SCHOOL,108536,422036,565399,0.02082886,421919,565335
E01027860,54.23925,-0.4382225,Seamer and Irton Community Primary School,121357,501881,483721,0.0213012,501894,483687
E01004399,51.60089,-0.0338924,William Morris School,103118,536278,190966,0.02167885,536350,190863
E01008979,52.40678,-1.907588,Bells Farm Primary School,103383,406407,278757,0.02334571,406332,278816
E01019887,50.78321,-2.994861,The Axe Valley Community College,113497,329958,98680,0.02586485,329996,98604
E01025224,53.83224,-2.214567,Marsden Community (Primary),119176,385957,437334,0.02665636,385976,437320
E01001479,51.63465,-0.0545842,Houndsfield Primary School,102011,534735,194690,0.02667523,534710,194606
E01008457,55.0034,-1.685549,CHEVIOT PRIMARY SCHOOL,108452,420199,567720,0.02940509,420266,567780
E01019094,54.72884,-3.442801,CROSSCANONBY ST JOHN'S CE PRIMARY SCHOOL,112273,307197,538078,0.03031512,307115,538132
E01005053,53.60336,-2.339234,"Christ Church C.E. (Aided) Primary School, Walshaw",105341,377691,411916,0.04173267,377724,411893
E01023818,51.65504,-0.5281702,The Russell School,117098,501958,196173,0.04499722,501905,196129
E01023584,51.69535,-0.2336398,St Giles Primary School,117564,522225,201109,0.04719491,522227,201198
E01020061,50.79239,-3.668694,Queen Elizabeth's Community College,113498,282523,100503,0.04852619,282576,100506
E01010531,52.54904,-2.098129,Manor Primary,104328,393496,294568,0.05466484,393506,294603
E01012498,53.39157,-2.629541,Sankey Valley St James' CE Primary School,133676,358204,388537,0.05541764,358189,388559
E01022060,51.83595,0.1814843,Little Hallingbury C. of E. Primary School,115182,550405,217453,0.0571726,550241,217462
E01026536,52.6989,1.242349,Horsford CE Infant School,121044,619216,316226,0.05965815,619239,316204
E01009525,52.43853,-1.525693,Whitmore Park Primary School,103685,432237,282394,0.1030719,432393,282285
E01027644,54.08837,-1.393837,Boroughbridge High School,121699,439641,466037,0.11360915,439626,466044
E01024366,51.21098,0.6459621,ULCOMBE C E PRIMARY,118631,584808,149025,0.11592387,584824,148986
E01020868,54.66086,-1.670923,KING JAMES I COMMUNITY ARTS COLLEGE,114306,421404,529464,0.13975292,421410,529450
E01024871,53.77784,-2.257162,Christ the King R.C. Primary,119488,383238,431301,0.005,383266,431324
