date,geography,geography code,bicycle_male_16to19,bicycle_male_20to21,bicycle_male_22to24,bicycle_male_25to29,bicycle_male_30to34,bicycle_male_35to39,bicycle_male_40to44,bicycle_male_45to49,bicycle_male_50to54,bicycle_male_55to59,bicycle_male_60to64,bicycle_male_65+,bicycle_female_16to19,bicycle_female_20to21,bicycle_female_22to24,bicycle_female_25to29,bicycle_female_30to34,bicycle_female_35to39,bicycle_female_40to44,bicycle_female_45to49,bicycle_female_50to54,bicycle_female_55to59,bicycle_female_60to64,bicycle_female_65+
2011,Hartlepool,E41000001,18,23,36,61,41,75,88,105,82,47,40,11,1,1,5,8,5,8,18,9,10,8,6,4
2011,Middlesbrough,E41000002,73,39,74,133,125,117,134,182,122,73,41,12,4,7,7,31,20,37,28,49,43,23,3,4
2011,Redcar and Cleveland,E41000003,45,28,38,75,60,86,91,107,83,44,22,11,5,8,13,15,15,22,28,35,23,18,1,4
2011,Stockton-on-Tees,E41000004,71,49,83,125,128,183,198,206,148,92,52,20,14,12,12,26,30,38,49,57,58,36,5,5
2011,Darlington,E41000005,62,31,64,113,119,133,122,139,86,50,33,11,2,5,9,22,21,30,32,22,21,15,9,3
2011,County Durham,E41000047,107,81,93,188,269,243,287,278,178,128,57,34,15,12,26,30,28,36,32,34,36,15,4,5
2011,Northumberland,E41000048,81,38,85,131,166,222,248,245,172,135,81,25,13,11,24,30,29,55,62,70,74,53,22,8
2011,Gateshead,E41000276,26,26,45,151,186,199,179,165,115,57,16,5,2,3,7,26,36,22,16,12,13,6,1,2
2011,Newcastle upon Tyne,E41000277,96,105,186,385,318,334,335,312,222,149,64,15,19,33,51,135,82,76,90,104,65,36,11,6
2011,North Tyneside,E41000278,67,45,82,190,230,277,315,290,201,135,72,18,11,4,16,48,47,58,71,70,55,30,9,9
2011,South Tyneside,E41000279,53,36,76,118,137,125,187,182,135,82,59,13,4,2,9,13,13,19,39,32,27,25,11,5
2011,Sunderland,E41000280,56,41,94,174,162,174,213,197,174,92,59,7,7,6,8,16,11,18,24,25,14,12,5,1
2011,Halton,E41000006,41,42,59,114,142,147,148,138,104,79,49,11,5,4,6,8,17,13,23,17,12,9,3,1
2011,Warrington,E41000007,123,82,137,217,207,253,259,258,201,153,102,45,23,12,33,46,58,56,75,85,76,50,22,21
2011,Blackburn with Darwen,E41000008,17,19,35,59,72,92,82,76,36,27,22,8,4,0,1,3,5,13,7,8,2,3,1,1
2011,Blackpool,E41000009,61,44,106,172,167,182,250,211,140,95,70,27,17,5,28,48,24,40,55,69,46,39,19,11
2011,Cheshire East,E41000049,209,92,179,364,389,433,508,575,386,280,154,64,39,19,48,65,74,103,134,158,151,125,73,64
2011,Cheshire West and Chester,E41000050,187,108,182,316,356,400,437,432,353,237,150,65,24,9,51,90,76,92,123,155,151,122,67,38
2011,Allerdale,E41000065,24,12,28,38,60,73,105,90,80,55,28,12,4,1,3,7,7,12,13,18,11,8,4,6
2011,Barrow-in-Furness,E41000066,42,40,68,151,133,171,239,253,182,107,85,20,3,2,3,9,12,23,21,26,13,14,5,1
2011,Carlisle,E41000067,68,50,58,114,125,179,166,172,123,110,40,15,10,5,7,25,15,17,29,23,28,9,3,2
2011,Copeland,E41000068,8,7,20,37,40,58,99,85,61,49,26,10,2,0,2,3,4,16,8,8,4,3,0,5
2011,Eden,E41000069,18,6,10,14,27,34,48,26,26,14,14,12,7,1,1,4,5,10,19,7,8,10,4,2
2011,South Lakeland,E41000070,71,18,40,79,111,130,151,164,127,87,66,25,8,1,10,34,29,36,38,48,40,27,20,5
2011,Burnley,E41000149,16,8,24,37,36,73,58,33,39,34,15,0,0,0,3,3,3,3,4,4,4,0,0,0
2011,Chorley,E41000150,38,24,32,71,89,82,96,89,66,30,23,13,2,1,4,9,6,11,11,18,17,15,7,10
2011,Fylde,E41000151,43,21,32,51,64,71,111,135,102,60,41,12,10,6,10,11,13,17,31,33,36,29,12,13
2011,Hyndburn,E41000152,18,11,15,43,39,47,51,52,37,31,17,2,0,1,4,4,6,9,3,4,1,2,1,0
2011,Lancaster,E41000153,74,48,109,198,250,254,267,254,161,143,71,25,14,20,34,77,71,81,80,115,83,49,14,7
2011,Pendle,E41000154,9,13,23,71,54,71,50,64,52,31,20,7,1,2,2,1,3,3,7,7,5,2,0,1
2011,Preston,E41000155,53,34,70,137,113,132,184,197,122,84,39,23,7,10,15,31,22,34,42,45,30,13,10,8
2011,Ribble Valley,E41000156,19,8,19,25,25,38,57,53,47,26,9,6,6,1,3,4,1,5,9,8,4,5,2,1
2011,Rossendale,E41000157,4,12,20,18,28,36,28,21,26,9,4,3,2,1,0,2,7,6,8,0,0,2,0,1
2011,South Ribble,E41000158,85,40,59,125,117,164,190,221,137,88,69,15,10,5,14,24,13,30,39,50,40,30,13,10
