urn,schoolname,lsoa11cd
100111,Millennium Primary School,E01033732
100113,Bannockburn Primary School,E01001677
100126,Gallions Mount Primary School,E01001677
100127,Gordon,E01001604
100130,HALSTOW,E01001665
100141,Sherington Primary School,E01001593
100146,Wyborne Primary School,E01001617
100148,BROOKLANDS PRIMARY SCHOOL,E01001656
100154,Wingfield Primary School,E01033726
100155,Cardwell Primary School,E01001710
100159,Linton Mead Primary School,E01001688
100163,Mulgrave Primary School and Early Years Centre,E01001705
100164,Charlton Manor Primary School,E01001650
100168,Our Lady of Grace RC School,E01001593
100170,St Margarets CE Primary School,E01001633
100174,St Alfege With St Peter CE Primary School,E01001640
100175,St Peter's Catholic Primary School,E01001696
100181,Bishop John Robinson School,E01001688
100187,Woolwich Polytechnic School,E01033745
100192,The John Roan School,E01001587
100229,Lauriston Primary School,E01001836
100230,London Fields Primary School,E01033712
100235,QUEENSBRIDGE PRIMARY,E01001819
100236,RANDAL CREMER,E01001776
100248,WOODBERRY DOWN PRY,E01033701
100259,PARKWOOD PRIMARY SCHOOL,E01001716
100275,SIMON MARKS JEWISH PRIMARY SCH,E01001723
100330,New King's Primary School,E01001951
100351,St Paul's CE Primary School,E01001893
100418,Pakeman Primary School,E01002730
100422,Robert Blair Primary School,E01002708
100487,Avondale Park Primary School,E01002870
100499,ST Mary's RC School,E01002852
100574,Kingswood Primary School,E01003068
100591,Wyvil School,E01033207
100595,Fenstanton Primary School,E01003174
100597,Elm Wood School,E01003065
100598,Allen Edwards Primary School,E01003123
100616,St Judes CE Primary School,E01003071
100618,St Lukes Church of England Primary School,E01003082
100628,St. Bernadette Catholic Junior,E01003161
100629,St Anne's RC Primary School,E01003102
100632,St Andrews Catholic Primary,E01003150
100633,Immanuel and St Andrew C of E Primary School,E01003145
100639,Dunraven School,E01003152
100672,Athelney School,E01003196
100679,Downderry Junior and Infants School,E01003240
100683,Forster Park Junior and Infants School,E01003347
100690,Kelvin Grove Junior and Infants School,E01003259
100701,Rushey Green Primary School,E01003216
100707,Torridon Junior School,E01003219
100709,John Ball Junior and Infants School,E01003200
100722,Good Shepherd RC Primary School,E01003237
100724,St. Margarets Lee CE Junior and Infants School,E01003203
100725,St Augustines Catholic Primary School,E01003192
100727,St James Hatcham CE Primary School,E01003215
100729,St Josephs RC Primary School,E01003304
100732,Our Lady and St Philip Neri RC Primary School,E01003333
100735,St Winifreds Infant  School,E01003287
100741,Sydenham Girls School,E01003256
100749,Trinity School,E01003283
100753,Turnham Primary School,E01003336
100781,Charles Dickens School,E01003927
100807,Redriff Primary School,E01004056
100816,Charlotte Sharman Primary School,E01003933
100832,St Josephs  (014b) RC Primary School,E01004028
100837,Peter Hills with St Marys and St Pauls CE School,E01004053
100852,St Anthonys Catholic Primary School,E01003958
100891,Bonner Primary School,E01004266
100897,Columbia Primary School,E01004314
100902,Globe Primary School,E01004266
100938,Halley Primary,E01004285
100939,Bigland Green Primary School.,E01004304
100941,Smithy Street Primary School,E01004324
100945,Guardian Angels Catholic Primary School,E01004232
100950,St Anne's Catholic Primary,E01004308
100956,ST.MATTHIAS.CE.SCHOOL,E01004317
100958,St Paul with St Luke C of E Primary School,E01004273
100967,Morpeth School,E01004259
100977,Sir John Cass/Redcoat School,E01004288
101001,Brandlehow School,E01033135
101007,Fircroft Primary School,E01004549
101010,Highview Primary & Nursery Sch,E01004508
101014,John Burns Primary School,E01004590
101017,Ravenstone Primary School,E01004545
101024,West Hill,E01004502
101031,Ronald Ross Primary School,E01004630
101033,The Alton School,E01004574
101047,Trinity St. Mary's C.E.Primary,E01004545
101048,St Mary's RC School,E01033100
101050,Sacred Heart Catholic Primary Sch.,E01004642
101051,Our Lady Queen of Heaven,E01004631
101053,Ernest Bevin College,E01004626
101059,BURNTWOOD FOUNDATION SCHOOL,E01004497
101063,SOUTHFIELDS COMMUNITY COLLEGE,E01004595
101099,Greenmead Primary School,E01004638
101107,Barrow Hill Junior School,E01004724
101111,Essendine Primary School,E01004708
101124,OUR LADY OF DOLOURS SCHOOL,E01032512
101128,St. Edward's RC Primary School,E01004659
101141,ST.SAVIOURS SCHOOL,E01033608
101143,St Vincent's Catholic Primary School,E01004714
101149,Quintin Kynaston School,E01004649
101188,DOROTHY BARLEY INFANTS,E01000073
101189,EASTBURY PRIMARY,E01000040
101196,NORTHBURY JUNIOR SCHOOL,E01000007
101198,Ripple Primary School,E01000044
101207,GRAFTON INFANTS,E01000100
101213,Rush Green Infants,E01000038
101219,WARREN JUNIOR,E01000031
101222,Valence Primary,E01000102
101230,RODING PRIMARY,E01000077
101232,JOHN PERRY PRIMARY,E01000108
101235,ST JOSEPHS RC PRIMARY (BARKING),E01033587
101238,THE ST TERESA CATHOLIC PRIMARY SCH,E01000077
101240,Warren Comprehensive School,E01000031
101243,Eastbrook Comprehensive School,E01000035
101245,Robert Clack Comprehensive,E01000114
101258,Barnfield School,E01000128
101262,Brookland Junior School,E01000210
101266,Church Hill Primary School,E01000117
101270,Coppetts Wood,E01000164
101272,Cromer Road Primary School,E01000247
101280,Frith Manor School,E01000262
101281,Garden Suburb Junior,E01000209
101286,Holly Park School,E01000158
101289,Livingstone School,E01000167
101294,Moss Hall Junior School,E01000301
